I'm too short.	Я слишком низкий.
Mary is a stay-at-home mom.	Мэри — неработающая мама.
He fell off the horse.	Он упал с лошади.
They all deserve to die.	Они все заслуживают смерти.
Go right ahead.	Идите прямо.
This is third-rate tobacco.	Это третьесортный табак.
That doesn't mean Tom will stop doing that.	Это не значит, что Том перестанет это делать.
What'll you do after graduation?	Что вы планируете делать после выпуска?
Why don't you come in?	Почему бы вам не зайти?
You must take his age into account.	Ты должен принять во внимание его возраст.
They all giggled.	Они все хихикали.
I couldn't go to work because I was sick.	Я не могла идти на работу, потому что я болела.
Tom and Mary want to learn French.	Том и Мэри хотят изучать французский язык.
I folded the towel in half.	Я сложил полотенце вдвое.
He took off his clothes.	Он снял с него одежду.
He's tickled pink.	Он в восторге.
That's quite possible.	Вполне возможно.
I hardly recognized Tom.	Я едва узнал Тома.
I'm glad I did it.	Я рад, что я это сделал.
I don't think it was Tom's fault.	Не думаю, что это была вина Тома.
Did you think about our offer?	Ты думала над нашим предложением?
She is weak by nature.	Она слаба по своей природе.
Tom lives across the street.	Том живёт через улицу.
There's something I have to do.	Мне надо кое-что сделать.
How about a little wine?	Может немного вина?
Oceans do not so much divide the world as unite it.	Океаны не столько разъединяют мир, сколько объединяют.
Do you really want me to be frank?	Вы действительно хотите, чтобы я говорил начистоту?
We knew that already.	Мы это уже знали.
I heard you tell Tom not to sing.	Я слышал, как вы говорили Тому, чтобы он не пел.
It won't be any problem at all.	Это будет совсем не трудно.
I wasn't able to fix it.	Я не смог её починить.
Tom burned the roof of his mouth biting into the slice of pizza.	Откусывая кусок пиццы, Том обжёг нёбо.
I didn't know Tom was sleepy.	Я не знал, что Тому хочется спать.
Do you like your hot dog?	Тебе нравится твой хот-дог?
Watch yourselves.	Берегитесь!
I want to hear your version of what happened.	Я хочу услышать твою версию случившегося.
I want to see Tom, too.	Я тоже хочу увидеть Тома.
This sword is heavier than I thought it would be.	Этот меч тяжелее, чем я думал.
That's the whole problem.	В этом-то и вся трудность.
I don't need it.	Мне он не нужен.
I love you for that.	За это я тебя люблю.
I said don't talk to me.	Я сказала, не разговаривайте со мной.
You look nice in that dress.	Вам идёт это платье.
I wonder why Tom is so scared.	Интересно, чем Том так напуган.
Patience is sometimes the most effective weapon.	Иногда терпение — самое действенное оружие.
Tom must be around thirty.	Тому, должно быть, около тридцати.
How often do you eat fruit?	Как часто вы едите фрукты?
That was easy.	Это было просто.
Tom probably doesn't even know how where Mary lives.	Том, вероятно, даже не знает, где живёт Мэри.
He's been divorced for 2 years already.	Он уже два года как разведён.
What do you owe Tom?	Сколько вы должны Тому?
Tom first came to Boston three years ago.	Впервые Том приехал в Бостон три года назад.
I poured water into the bucket.	Я налил в ведро воды.
I was the only one who survived.	Я был единственным, кто выжил.
I was offended.	Я был обижен.
I escaped death.	Я избежал смерти.
I thought you knew.	Я думал, ты знаешь.
Tom just sat there, looking at Mary.	Том просто сидел там и смотрел на Мэри.
That would be crazy.	Это было бы сумасшествием.
I didn't tell you to do that.	Я не говорил вам это делать.
Tom didn't tell me that he was married.	Том не сказал мне, что женат.
Tom can't understand why Mary is angry.	Том не может понять, почему Мэри злится.
He turned a somersault.	Он кувыркнулся.
If you need any help, ask me.	Если нужна будет помощь, зови.
I fired Tom.	Я уволила Тома.
When do we go?	Когда мы идём?
They're still alive.	Они всё ещё живы.
We have to warn Tom.	Мы должны предупредить Тома.
Think before you act.	Думай, прежде чем делать!
I hear Tom is sick.	Я слышал, Том болен.
That isn't much, is it?	Это не много, так ведь?
Is that what you wanted to hear?	Ты это хотел услышать?
She gave him a book.	Она дала ему книгу.
Taste it.	Попробуйте её.
Tom told me about his dog.	Том рассказал мне о своей собаке.
I like making model airplanes.	Я люблю клеить модели самолётов.
You don't look like you're from around here.	Ты не похож на местного.
Please let me eat in peace.	Пожалуйста, дайте мне поесть спокойно.
Should I go to Boston?	Мне съездить в Бостон?
I played tennis with my brother.	Я играл с братом в теннис.
I need to charge my cell phone.	Мне нужно зарядить мобильник.
Remember to turn off the lights.	Не забудьте выключить свет.
I don't have time to help Tom.	У меня нет времени помогать Тому.
Listen to Tom.	Послушай Тома.
I wonder what will happen.	Странно, что случится?
Tell Tom that I need his help.	Скажи Тому, что мне нужна его помощь.
Thieves broke into the palace and stole the princess's diamonds.	Воры проникли во дворец и украли бриллианты принцессы.
This is the best time of year to visit Boston.	Это лучшее время года, чтобы посетить Бостон.
I need to check.	Мне нужно проверить.
Just leave them there.	Просто оставьте их там.
I have no time to engage in gossip.	У меня нет времени на сплетни.
I just heard that Tom and Mary are moving to Boston.	Я только что услышал, что Том и Мэри переезжают в Бостон.
That's the price of success.	Такова цена успеха.
Why are you talking like that?	Почему ты так говоришь?
Are you mad at me?	Ты сердишься на меня?
I don't know anyone like that.	Я с такими не знаком.
I had him repair my watch.	Он починил мои часы.
Do you want me to bring you something to eat?	Хочешь, принесу тебе что-нибудь поесть?
Can anyone here speak French?	Здесь кто-нибудь говорит по-французски?
Are you aware of what's happened?	Вы в курсе произошедшего?
Please don't be upset.	Не расстраивайся, пожалуйста.
Tom put his head out the window.	Том высунул голову в окно.
Tom said he had a slight cold.	Том сказал, что немного простужен.
Tom and Mary were married for three years.	Том и Мэри были женаты три года.
I wanted Tom to kiss me.	Я хотела, чтобы Том меня поцеловал.
I need information.	Мне нужна информация.
Are there a lot of tall buildings in Boston?	В Бостоне много высотных зданий?
He cut himself with a knife yesterday.	Он вчера порезался ножом.
Tom is already crying.	Том уже плачет.
Tom is probably not going to be able to do that.	Вероятно, Том не сможет сделать этого.
She missed him a lot.	Она очень по нему скучала.
Do you know how long it takes to fly from Boston to Chicago?	Ты знаешь, сколько лететь из Бостона в Чикаго?
Tom is afraid of doctors.	Том боится врачей.
We all missed the target.	Мы все промахнулись мимо цели.
I called her up.	Я позвонил ей.
I think Tom isn't right.	По-моему, Том не прав.
Tom Jackson lived to be 93.	Том Джексон дожил до 93 лет.
I'm sorry, but I don't understand French well.	Извиняюсь, но я не очень хорошо понимаю по-французски.
The plan is working.	План работает.
I make it a rule to brush my teeth before I go to bed.	Я взял за правило чистить зубы перед сном.
We're both professionals.	Мы оба профессионалы.
They are right.	Они правы.
We've ordered a pizza.	Мы заказали пиццу.
Tom promised to tell the truth.	Том обещал говорить правду.
He was mumbling something.	Он что-то бормотал.
We had to help Tom.	Нам надо было помочь Тому.
I had no idea Tom knew French.	Я и не знал, что Том знает французский.
Get back in the car.	Садись обратно в машину.
Tom didn't ask anything.	Том ни о чём не спрашивал.
I agree with your proposal.	Я согласен с твоим предложением.
You are wonderful.	Вы замечательные.
Let's say you're right.	Предположим, ты прав.
I don't know why you need it.	Не знаю, зачем вам это нужно.
What else are you good at doing?	Что ещё у Вас хорошо получается?
We'll never catch Tom.	Мы никогда не поймаем Тома.
Driving for one and a half hours to get to work is a bear.	Ехать полтора часа на работу — тягомотина.
Ask yourself why.	Спроси себя почему.
I was indiscreet.	Я был опрометчив.
This one's for you.	Эта для тебя.
Tom motioned for me to follow him.	Фома жестом пригласил меня последовать за ним.
The soup's cold.	Суп холодный.
Tom gave Mary a light kiss on the cheek.	Том легонько поцеловал Мэри в щёку.
I hope you can help Tom.	Надеюсь, вы сможете помочь Тому.
The only thing we have to fear is fear itself.	Единственное, чего нам надо бояться, - это сам страх.
I think that Tom may be right this time.	Думаю, Том на этот раз может быть прав.
You're getting better.	Ты поправляешься.
Tom and Mary just celebrated their silver anniversary.	Том и Мэри только что отпраздновали свою серебряную свадьбу.
I lost the book you lent me.	Я потерял книгу, которую ты мне одолжил.
Can you spare me a few minutes?	Можете уделить мне несколько минут?
What's the fastest way to get to the airport?	Какой самый быстрый способ добраться до аэропорта?
I didn't ask Tom that question.	Я не задавал Тому этого вопроса.
Let's ask the neighbors to look after the dog while we're away.	Давай попросим соседей присмотреть за собакой, пока мы в отъезде.
Tom doesn't have to leave now, does he?	Тому ведь необязательно сейчас уезжать?
Why don't you try this one?	Почему бы тебе не попробовать этот?
Tom said he would come to the party.	Том сказал, что придёт на вечеринку.
Why do you have three cars?	Зачем тебе три машины?
Thank you very much for your present.	Большое спасибо вам за подарок.
Are Tom and Mary your friends?	Том и Мэри - твои друзья?
The batteries are dead.	Батарейки сели.
What time will you be home?	Во сколько ты будешь дома?
I almost feel sorry for you.	Мне вас почти жаль.
There's something we need to talk about.	Нам нужно кое о чём поговорить.
We're on our way to Boston.	Мы на пути в Бостон.
I thought that you'd be thirsty.	Я подумал, ты захочешь пить.
I want you to stay where you are.	Я хочу, чтобы ты оставался там, где ты находишься.
Tom has a nose ring.	У Тома кольцо в носу.
Tom wasn't the champion.	Том не был чемпионом.
He helps her.	Он ей помогает.
I understand it.	Я понимаю это.
He is also returning late today.	Он сегодня тоже вернётся поздно.
What're you doing?	Чем занимаешься?
Tom moved into his new apartment in October.	Том переехал в новую квартиру в октябре.
I haven't decided what I'll do.	Я ещё не решил, что буду делать.
It looks like you're bored.	Тебе, похоже, скучно.
Please don't tell Tom.	Пожалуйста, не рассказывай Тому.
Do you have a temperature?	У вас температура?
How many pieces of baggage do you have?	Сколько у вас багажа?
Do you watch soccer?	Ты смотришь футбол?
She gave me a peck on the cheek.	Она чмокнула меня в щеку.
Tom opened a pizzeria.	Том открыл пиццерию.
She is used to speaking in public.	Ей не привыкать к публичным выступлениям.
Keep the door locked.	Держите дверь запертой.
Congratulations!	Наши поздравления!
You're very materialistic.	Ты очень материалистичен.
I don't think Tom knows when Mary will be back.	Не думаю, что Том знает, когда Мэри вернётся.
How will you get to Boston?	Как вы доберётесь до Бостона?
I didn't want Tom to help me.	Я не хотел, чтобы Том мне помогал.
Tom pulled a box from under the bed.	Том вытащил из-под кровати коробку.
We'll take my car.	Мы возьмём мою машину.
He gets up early.	Он рано встаёт.
There is no such thing as a thornless rose.	Не существует такого явления, как роза без шипов.
This smells great! What are you cooking?	Пахнет вкусно! Что готовишь?
It was quite cold.	Было довольно холодно.
I may have told you such a thing, but I don't remember it at all.	Может, я говорил тебе что-то такое, но я вовсе этого не помню.
Tom blew his nose loudly during the oboe solo.	Во время соло гобоя Том громко высморкался.
Ask Tom about it.	Спросите об этом у Тома.
Who does this suitcase here belong to?	Кому принадлежит этот чемодан?
Are we ready for it?	Мы к этому готовы?
I'd like to go to Boston again someday.	Я хочу когда-нибудь снова поехать в Бостон.
He doesn't come here every day.	Он не каждый день сюда приходит.
Did you read the article?	Ты прочёл статью?
You'll have to go to Boston to meet Tom next week.	Тебе придётся поехать в Бостон, чтобы встретиться с Томом на следующей неделе.
When we were on the brink of starvation, they saved our lives.	Когда мы были на краю гибели от голода, они спасли наши жизни.
Tom mentioned your name, too.	Том упомянул и ваше имя.
Tom is doing great.	Том отлично поживает.
I didn't tell Tom you were here.	Я не сказал Тому, что ты здесь.
How long have you been doing this?	Давно ты этим занимаешься?
No one is there but Tom.	Там никого нет, кроме Тома.
You have to leave.	Вам надо уехать.
Can I tag along?	Можно мне с вами?
I like sauerkraut.	Я люблю кислую капусту.
What a blessing!	Какое счастье!
Can you recommend a good book?	Вы можете порекомендовать хорошую книгу?
Tom won't talk about what happened.	Том не хочет говорить о том, что произошло.
Tom is eating ice cream.	Том ест мороженое.
We are going to have a baby next month.	У нас будет ребёнок в следующем месяце.
Why did you decide to study French?	Почему ты решила учить французский язык?
I didn't know Tom was going to do that.	Я не знал, что Том собирается сделать это.
You'll help, won't you?	Ты ведь поможешь?
I lost my wife last year.	Я потерял жену в прошлом году.
Mary hardly ever talks to her husband anymore.	Мэри уже почти не разговаривает с мужем.
Tom got an A in French.	Том получил пятёрку по французскому.
Who do you think we are?	Как ты думаешь, кто мы?
Why is everybody so happy?	Что это все такие довольные?
Does anyone here speak Japanese?	Здесь кто-нибудь говорит по-японски?
Tom has nothing to worry about.	Тому не о чем беспокоиться.
Am I hurting you?	Я делаю Вам больно?
He died of lung cancer.	Он умер от рака лёгких.
Due to the fog, traffic is temporarily suspended.	Из-за тумана движение временно приостановлено.
Are you friends?	Вы дружите?
That was your plan.	Это был ваш план.
It may just be a matter of time.	Это может быть просто вопросом времени.
At last, he went to America.	Наконец он отправился в Америку.
You're the one who should be worried.	Это вам надо беспокоиться.
I didn't need to go to Boston.	Мне не нужно было ехать в Бостон.
I can't forgive her.	Я не могу её простить.
Are they busy?	Они заняты?
Tom is totally dependent on his parents.	Том полностью зависит от родителей.
It was just a matter of time.	Это был всего лишь вопрос времени.
Tom tried to hide his embarrassment.	Том пытался скрыть своё замешательство.
I'm afraid to go home.	Я боюсь идти домой.
I'd like to ask you a few more questions.	Я хотел бы задать тебе ещё несколько вопросов.
Where did Tom find this?	Где Том это нашёл?
There are more girls than boys in our school.	В нашей школе девочек больше, чем мальчиков.
She is no longer what she used to be.	Она уже не такая, как раньше.
I had never seen Tom cry.	Я никогда не видела, чтобы Том плакал.
Tom can cook.	Том умеет готовить.
Let me do it.	Дай я сделаю.
We don't need anyone else.	Нам больше никто не нужен.
I don't think it's as important as Tom thinks it is.	Не думаю, что это так важно, как Том думает.
We could go skating if you like.	Мы могли бы пойти кататься на коньках, если хочешь.
In any case, it's none of your business.	В любом случае, это не твоё дело.
Mary wiped her eyes with her apron.	Мария вытерла глаза фартуком.
Is it true that your family will travel in Hokkaido? I envy you.	Это правда, что ты вместе с семьей поедешь в путешествие на Хоккайдо? Я завидую тебе.
I've never heard Tom play the piano.	Я никогда не слышал, как Том играет на пианино.
Did Tom tell you not to do that?	Том говорил вам, чтобы вы этого не делали?
He accomplished his mission.	Он выполнил свою миссию.
Tom is strict.	Том строг.
What exactly do you plan to do?	Что именно ты планируешь сделать?
Are you wearing makeup?	Ты носишь макияж?
Tom turned the lights off.	Том выключил свет.
He is still in bed.	Он ещё в постели.
How many years was Tom in Boston?	Сколько лет Том пробыл в Бостоне?
Children learn by watching what adults around them do.	Дети учатся, наблюдая за тем, что делают окружающие их взрослые.
I remember when I first saw you.	Я помню, когда в первый раз вас увидел.
Are you sure you want that one?	Ты уверена, что хочешь вон ту?
Tom prefers red wine to white wine.	Том предпочитает красное вино белому.
Have you already sharpened the knives?	Ты уже поточил ножи?
I just spoke to Tom three hours ago.	Я только три часа назад с Томом разговаривал.
I'd like you to get out of my house.	Я бы хотел, чтобы ты покинул мой дом.
Tom ate dinner in the dark.	Том поужинал в темноте.
I'd like to have something to eat.	Мне бы чего-нибудь перекусить.
Would you mind if I told Tom?	Ты не против, если я скажу Тому?
Tom told me that Mary was interested.	Том сказал мне, что Мэри интересно.
The good weather will hold.	Хорошая погода ещё постоит.
I was just trying to help.	Я просто пытался помочь.
We often make mistakes.	Мы часто делаем ошибки.
I was here yesterday.	Я был здесь вчера.
I want everything you just said written into the contract.	Я хочу, чтобы всё, что вы только что сказали, было записано в договоре.
Please take your seat.	Пожалуйста, займи своё место.
They left before we arrived.	Они вышли до того, как мы пришли.
Tom goes out for a walk every morning.	Том каждое утро выходит прогуляться.
I can't offer you anything in return.	Я ничего не могу предложить вам взамен.
Shut off the water.	Выключите воду.
This exercise is simpler than I thought.	Это упражнение проще, чем я думал.
Can you make a copy for me?	Можешь сделать для меня копию?
Is that seat available?	Это место не занято?
Do you want me to lock the door?	Хочешь, чтобы я запер дверь?
When will Tom and Mary arrive?	Когда приедут Том и Мэри?
There is a woman who wants to see you.	Вас тут какая-то женщина хочет видеть.
Are these the pictures that you took in Boston?	Это те самые фотографии, что ты сделал в Бостоне?
I like tennis the best of all sports.	Из всех видов спорта мне больше всего нравится теннис.
Should I go with you?	Мне пойти с вами?
Tom came home after midnight.	Том вернулся домой за полночь.
Poverty prevented him from continuing his studies.	Бедность помешала ему продолжить учёбу.
I know that you can do that.	Я знаю, что вы можете это сделать.
You've misspelled my name.	Вы неправильно написали моё имя.
Tom knew Mary would arrive late.	Том знал, что Мэри опоздает.
No matter what happens, I will never change my mind.	Что бы ни случилось, я не передумаю.
I have some things I have to do.	У меня есть кое-какие дела.
I forgot Tom's address.	Я забыл адрес Тома.
I didn't know what else to do.	Я не знал, что ещё делать.
At least, no one was hurt.	По крайней мере, никто не пострадал.
What does this have to do with what I was saying about Tom?	Какое это имеет отношение к тому, что я говорил о Томе?
That's none of your business.	Это не твоё дело.
Tom doesn't even know what you are talking about.	Том даже не знает, о чём вы говорите.
It's all in here.	Всё здесь.
It's very cold this evening.	Сегодня вечером очень холодно.
I can go there on foot.	Я могу туда пешком пойти.
She fell into a deep sleep.	Она впала в глубокую спячку.
Why is he here?	Почему он здесь?
Did you sign it?	Вы её подписали?
I haven't done the dishes yet.	Я ещё не помыл посуду.
That's just crazy.	Это просто сумасшествие.
Ask him whether she is at home or not.	Спроси у него, дома она или нет.
I'm not sure I have enough time to clean my room before I go to school.	Я не уверен, что успею убраться у себя комнате, перед тем как пойти в школу.
Weren't you listening?	Ты что, не слушал?
Tom has been released from jail.	Тома выпустили из тюрьмы.
It told Tom that I was sorry.	Я сказал Тому, что мне жаль.
Be honest with me.	Будьте честны со мной.
Do you happen to know where Tom lives?	Вы, случайно, не знаете, где живёт Том?
Don't ever talk to me again.	Никогда больше со мной не заговаривай.
He studies Chinese.	Он изучает китайский.
Don't let Tom near my kids.	Не давай Тому приближаться к моим детям.
I don't teach French here anymore.	Я больше не преподаю здесь французский.
Get out of my office.	Проваливай из моего офиса.
May I speak with Tom?	Могу я поговорить с Томом?
Tom is busy with his research.	Том занят своим исследованием.
Tom went into the wrong building.	Том вошёл не в то здание.
We won't do that without their permission.	Мы не сделаем этого без их разрешения.
I knew that was Tom.	Я знал, что это Том.
Tom was in the center of the room.	Том был в центре комнаты.
You need a taxi, don't you?	Вам нужно такси, не так ли?
None of us speaks French.	Никто из нас не говорит по-французски.
Tom's daughter is growing up rapidly.	Дочь Тома быстро взрослеет.
She doesn't want to go to church.	Она не хочет ходить в церковь.
Tom didn't need our help.	Том не нуждался в нашей помощи.
I thought you'd be angry.	Я думала, ты рассердишься.
If you're ready, we'll begin.	Если вы готовы, мы начнём.
After a while, the man came into the room.	Через некоторое время мужчина вошёл в комнату.
Are you going to the show?	Вы идёте на шоу?
My cat eats like a horse.	Моя кошка ест как лошадь.
I think this is great.	Я думаю, что это здорово.
Who do you live with?	С кем ты живёшь?
It was years ago.	Это было много лет назад.
You're in my hands.	Вы у меня в руках.
Tom doesn't regret that decision.	Том не жалеет об этом решении.
Tom doesn't blame us.	Том нас не винит.
Why would I lie?	С чего бы мне врать?
I really don't have the time.	У меня правда нет времени.
I didn't know it would be like this.	Я не знал, что так получится.
Are there oceans on other planets?	На других планетах есть океаны?
He is young and ambitious.	Он молод и амбициозен.
He wanted the cab driver to turn left.	Он хотел, чтобы таксист повернул налево.
Some snakes are poisonous.	Некоторые змеи ядовиты.
I didn't know Tom was a dentist.	Я не знал, что Том - стоматолог.
Why is Tom wearing a jacket?	Почему Том в пиджаке?
Tom's friends knew he couldn't speak French.	Друзья Тома знали, что он не говорит по-французски.
Tom tried to scare me.	Том пытался меня напугать.
He arrived too early.	Он явился слишком рано.
We only have a three hours left.	У нас осталось всего три часа.
Do you realize what would've happened if you hadn't helped us?	Вы понимаете, что было бы, если бы вы нам не помогли?
What would you like?	Чего бы вам хотелось?
What's your dog's name?	Как зовут твою собаку?
You're acting like a three-year-old.	Вы ведёте себя как трёхлетний ребёнок.
Mary likes to bake bread.	Мэри любит печь хлеб.
Tom is playing in his room.	Том играет у себя в комнате.
Have you ever drunk carrot juice?	Ты когда-нибудь пил морковный сок?
Not everyone agreed.	Не все были согласны.
You're not crying, are you?	Ты ведь не плачешь?
I think my plan is better than yours.	Думаю, мой план лучше, чем твой.
Who's that letter from?	От кого это письмо?
It's too cold.	Слишком холодно.
You must always do what is right.	Ты всегда должен делать, что правильно.
Has Tom forgiven you?	Том вас простил?
The more countries a language is spoken in, the less important it is to sound like a native speaker, since speakers of that language are accustomed to hearing various dialects.	Чем в большем количестве стран используется тот или иной язык, тем менее важно иметь такое же произношение, как у его носителей, так как носители этого языка привыкли к звучанию различных акцентов.
Call security.	Вызови охрану.
I'm bigger than you.	Я больше тебя.
Tom worked for me for three years.	Том работал на меня три года.
Have you checked under the sofa?	Ты под диваном смотрел?
I didn't know that was going to happen.	Я не знал, что это произойдёт.
Tom looks like he's jealous.	Том, похоже, ревнует.
Tom can play the guitar, I think.	Том умеет на гитаре играть, я думаю.
No one I know likes Tom.	Никому из тех, кого я знаю, Том не нравится.
I didn't do that and Tom didn't either.	Я этого не сделал, и Том тоже.
How many days will it take us to do that?	Сколько дней у нас это займёт?
They knew exactly what they were doing.	Они точно знали, что делают.
Give it back to Tom.	Верните её Тому.
She was only 18 when she graduated from university.	Ей было всего 18, когда она закончила университет.
Did you leave the window open?	Ты оставил окно открытым?
That's very hard.	Это очень тяжело.
You're young.	Вы молодые.
Go to the barbershop.	Сходи в парикмахерскую.
I was very surprised by Tom's reaction.	Меня очень удивила реакция Тома.
I hope you're hungry.	Надеюсь, ты голодный.
You can't hide forever, Tom.	Ты не можешь прятаться вечно, Том.
Why do you think I didn't do that?	Почему вы думаете, что я этого не делал?
Were you attentive?	Ты был внимателен?
My parents never allowed me to swim alone in the sea.	Мои родители никогда не разрешали мне купаться в море одной.
Don't any of you know anything?	Разве никто из вас ничего не знает?
I think Tom is handsome.	По-моему, Том красивый.
I'll wait thirty more minutes.	Я подожду ещё тридцать минут.
We don't have time to eat now.	У нас сейчас нет времени поесть.
You don't have to come.	Можете не приходить.
Tom will be sitting in the back.	Том будет сидеть сзади.
She made him cry.	Она довела его до слёз.
At first, I didn't like him.	Поначалу он мне не нравился.
Almost nobody knows this.	Этого почти никто не знает.
Who asked you?	Кто вас просил?
I couldn't say no.	"Я не смог сказать ""нет""."
We need to leave right now.	Нам нужно уходить прямо сейчас.
Tom's yelling.	Том орёт.
How long were you gone?	Как долго вас не было?
Were you able to convince Tom?	Вы смогли убедить Тома?
I know what you are thinking.	Я знаю, о чём вы сейчас думаете.
There is no telling when the war will end.	Неизвестно, когда закончится война.
Did she say it?	Она сказала это?
You owe me.	Ты должен мне.
I thought I'd dropped something.	Я решил, что что-то уронил.
We'll be ready.	Будем готовы.
Do you want to help?	Хотите помочь?
It is next to impossible.	Это почти невозможно.
Do you want to know who did that?	Ты хочешь знать, кто это сделал?
Tom has done it before.	Том это уже делал.
My nose is too big.	У меня слишком большой нос.
I'm glad Tom wasn't fired.	Я рад, что Тома не уволили.
I miss my kids.	Я скучаю по своим детям.
Call for help.	Позови на помощь.
He doesn't need to work.	Ему не нужно работать.
She'll lend you a book.	Она одолжит тебе книгу.
Tom wants to become a famous singer.	Том хочет стать известным певцом.
It's a simple question.	Это простой вопрос.
Tom's not a bad guy.	Том - неплохой парень.
Which shoes do you like?	Какие туфли вам нравятся?
Where did you take your socks off?	Где вы сняли носки?
I don't think Tom knows where Mary parked her car.	Не думаю, что Том знает, где Мэри припарковала машину.
I hope this seat is not occupied.	Надеюсь, это место не занято.
What do you want to ask me?	О чём ты хочешь меня спросить?
She went to Paris to study music.	Она уехала в Париж, чтобы заниматься музыкой.
This is obviously a waste of time.	Это, очевидно, потеря времени.
I want to travel to the moon.	Я хочу полететь на Луну.
I'm cleaning the kitchen.	Я убираюсь на кухне.
Was it interesting?	Интересно было?
I'm new.	Я новенькая.
I saw a cat on the roof.	Я видел на крыше кота.
I don't care about your past.	Мне безразлично Ваше прошлое.
I miss Tom already.	Я уже скучаю по Тому.
What does this button do?	Что делает эта кнопка?
I want a computer.	Я хочу компьютер.
I don't think Tom will do anything.	Не думаю, что Том что-то сделает.
Tom was unfair.	Том был несправедлив.
A dog that barks all the time doesn't make a good watch dog.	Собаке, что всё время лает, не стать хорошим сторожевым псом.
Is that why you did this?	Ты поэтому это сделал?
You're probably hungry.	Ты, наверное, голодный.
Tom didn't look like he was having fun.	По виду Тома было непохоже, что он веселится.
I don't think Tom has any enemies.	Не думаю, что у Тома есть враги.
I'm calling the cops unless you leave right now.	Если вы прямо сейчас не уйдёте, я вызываю полицию.
Tom didn't ask Mary to do anything.	Том ни о чём не просил Мэри.
Tom has three suggestions.	У Тома есть три предложения.
Tom is afraid of snakes.	Том боится змей.
Actually, I'm kind of busy.	Вообще-то, я вроде как занят.
Tom is annoyed with Mary.	Том был раздражен Мэри.
How much money did you lose?	Сколько ты проиграл?
They are manufactured in various sizes.	Они произведены в различных размерах.
Tell Tom that I'd like to help.	Скажи Тому, что я хотел бы помочь.
Tom doesn't have to stay in the hospital.	Тому необязательно оставаться в больнице.
Tom comes to see me sometimes.	Том иногда меня навещает.
We have nothing to hide.	Нам нечего скрывать.
Sorry, I've got to go.	Извините, я должен идти.
Tom has already done it.	Том это уже сделал.
Raisins are dried grapes.	Изюм — это сушёный виноград.
Tom had better hurry or he'll miss the bus.	Тому лучше поторопиться, иначе он опоздает на автобус.
Tom tore a page out of his notebook.	Том вырвал страницу из своей тетради.
May I ask you a few questions?	Могу я задать тебе несколько вопросов?
I broke up with Tom.	Я порвала с Томом.
You just don't get it.	Ты просто не догоняешь.
He also speaks French.	Он говорит и по-французски.
Isn't that Tom?	Это разве не Том?
I really want to stay.	Я очень хочу остаться.
I just have one question for you.	У меня к тебе только один вопрос.
She made me a cake.	Она приготовила для меня пирог.
There's never been a problem before.	Раньше никогда не было проблем.
Tom buttered a slice of bread.	Том намазал маслом ломтик хлеба.
I have to stop this.	Я должен это остановить.
We need one more spoon.	Нам нужна ещё одна ложка.
Where will you go for vacation?	Куда ты поедешь в отпуск?
Tom couldn't have done that without Mary's help.	Том не смог бы сделать это без помощи Мэри.
He cleared his throat.	Он прочистил горло.
Let me think about it.	Дайте мне это обдумать.
We're OK.	Мы в порядке.
What's Tom going to think?	Что подумает Том?
I agree with both of you.	Я с вами обеими согласен.
She is a good writer.	Она хорошая писательница.
Do you think you're smart?	Думаешь, ты умный?
Can I do that?	Я могу это сделать?
I found it on the street.	Я нашёл её на улице.
I'm not married.	Я не женат.
Are you going to sell Tom your house?	Вы продадите Тому свой дом?
I swim in the sea every day.	Я плаваю в море каждый день.
I'd say Tom is jealous.	Я бы сказал, что Том ревнует.
I do what I'm told.	Я делаю то, что мне говорят.
Tom often yells at his children.	Том часто кричит на своих детей.
I knew you'd go there.	Я знал, что ты туда поедешь.
I need to talk to you.	Мне с вами надо поговорить.
We need to air out the house.	Нам нужно проветрить дом.
I don't study after school.	У меня нет занятий после школы.
Get up.	Вставай.
Tom's room was pretty clean.	В комнате Тома было довольно чисто.
You almost never smile anymore.	Вы теперь почти никогда не улыбаетесь.
I can't believe I let Tom do that.	Я не могу поверить, что позволила Тому сделать это.
I'm relieved to hear that.	Рад это слышать.
That boy talks as if he were a grown up.	Тот пацан говорит как взрослый.
Yesterday they fired seven employees.	Вчера они уволили семь работников.
Have you eaten?	Поел?
Cinderella had two wicked stepsisters.	У Золушки были две злые сводные сестры.
Fewer people come here every year.	С каждым годом сюда приезжает всё меньше и меньше народу.
I refuse to answer that.	Я отказываюсь на это отвечать.
I often agree with Tom.	Я часто соглашаюсь с Томом.
Strange to say, he didn't know the news.	Как ни странно, он был не в курсе новостей.
They're doctors.	Они доктора.
I've heard about you.	Я о тебе слышал.
Don't let that dog come near me!	Не подпускайте ко мне эту собаку!
The old man stopped for a moment to rest.	Старик ненадолго остановился, чтобы передохнуть.
We need three more chairs.	Нам нужны ещё три стула.
I miss you very much.	Я очень по вам скучаю.
You must not speak Japanese during the class.	Вы не должны разговаривать по-японски во время урока.
Tom was in the shower.	Том был в душе.
Could you call again later, please?	Не могли бы вы перезвонить позже?
You're the best dad in the world.	Ты лучший папа в мире!
History is repeating itself.	История повторяется.
Tom seemed angry.	Том казался сердитым.
I feel like such an idiot.	Я чувствую себя такой идиоткой.
I'm efficient.	Я подготовлен.
Is there anything else you want to know?	Вы хотите ещё что-нибудь узнать?
He was successful in several areas.	Он был успешен в нескольких областях.
